title,cast,release_year
Queen of Katwe,"David Oyelowo, Lupita Nyong'o, Madina Nalwanga, Martin Kabanza, Taryn Kyaze, Esther Tebandeke",2016
Quints,"Kimberly Brown, Daniel Roebuck, Elizabeth Morehead, Shadia Simmons, Jake Epstein, Vince Corazza",2000
Ratatouille,"Patton Oswalt, Ian Holm, Lou Romano, Brian Dennehy, Peter Sohn, Peter O'Toole",2007
Read It and Weep,"Kay Panabaker, Jason Dolley, Robin Riker, Tom Virtue, Alexandra Krosney, Danielle Panabaker",2006
Ready to Run,"Krissy Perez, Jason Dohring, Lillian Hurst, Jon Brazier, Nestor Serrano, Theresa Saldana",2000
Recess: All Growed Down,"Rickey Collins, Jason Davis, Ashley Johnson, Myles Jeffrey, Andrew Lawrence, Ross Malinger",2003
Recess: School's Out,"Rickey Collins, Jason Davis, Ashely Johnson, Andy Lawrence, Courtland Mead, Pam Segall",2001
Recess: Taking the 5th Grade,"Rickey Collins, Jason Davis, Myles Jeffrey, Ashley Johnson, Courtland Mead, Pamela Adlon",2003
Red's Dream,,1987
Remember the Titans,"Denzel Washington, Will Patton, Donald Faison, Wood Harris, Ryan Hurst, Ethan Suplee",2000
Rescue Dog,,1947
Return from Witch Mountain,"Bette Davis, Christopher Lee, Kim Richards, Ike Eisenmann, Jack Soo, Anthony James",1978
Return to Halloweentown,"Sara Paxton, Judith Hoag, Lucas Grabeel, J. Zimmerman, Kristy Wu, Keone Young",2006
Return to Oz,"Nicol Williamson, Jean Marsh, Piper Laurie, Matt Clark, Fairuza Balk, Michael Sundin",1985
Richie Rich's Christmas Wish,"David Gallagher, Eugene Levy, Keene Curtis, Jake Richardson, Martin Mull, Lesley Warren",1998
Right on Track,"Beverley Mitchell, Brie Larson, Marcus Toji, Jodi Russell, Jon Lindstrom, Ruby O'Neil",2003
Riley’s First Date?,"Lori Alan, Carlos Alazraqui, Lewis Black, Josh Cooley, Ben Cox, Kaitlyn Dias",2015
Rip Girls,"Camilla Belle, Dwier Brown, Stacie Hess, Brian Stark, Jeanne Mori, Lauren Sinclair",2000
Robin Hood,"Roger Miller, Peter Ustinov, Terry-Thomas , Brian Bedford, Monica Evans, Phil Harris",1973
Rocky Mountain Animal Rescue,Chopper Bernet,2018
Rogue One: A Star Wars Story,"Felicity Jones, Diego Luna, Ben Mendelsohn, Donnie Yen, Mads Mikkelsen, Alan Tudyk",2016
Roving Mars,"Paul Newman, Steve Squyres, Rob Manning, Dr. Elachi, Wayne Lee",2006
Ruby Bridges,"Penelope Miller, Kevin Pollak, Michael Beach, Jean Kelly, Peter James, Patrika Darbo",1998
Sacred Planet,"Robert Redford, Arapata McKay, Tsaan Ciqae, Mae Tui, Cy Peck Jr., Mutang Urud",2004
Saludos Amigos,Fred Shields,1943
"Sammy, The Way-Out Seal","Jack Carson, Robert Culp, Patricia Barry, Elisabeth Fraser, Michael McGreevey, Billy Mummy",1962
Sanjay's Super Team,"Brenton Schraff, Sunny Attar, Arun Rao, Jaquelynn Herrera",2015
Santa Paws 2: The Santa Pups,"Cheryl Ladd, George Newbern, Pat Finn, Danny Woodburn, Obba Babatunde, Paul Rae",2012
Santa's Workshop,,1932
Saving Mr. Banks,"Emma Thompson, Tom Hanks, Colin Farrell, Paul Giamatti, Jason Schwartzman, Bradley Whitford",2013
Science Fair,"Anjali Chadha, Ryan Folz, Harsha Paladugu, Abraham Riedel-Mishaan, Kashfia Rahman, Ivo Zell",2018
Sea of Hope: America's Underwater Treasures,Max Kennedy,2017
Secret of The Wings,"Mae Whitman, Lucy Hale, Timothy Dalton, Jeff Bennett, Lucy Liu, Raven-Symoné",2012
Secretariat,"Diane Lane, John Malkovich, Dylan Walsh, James Cromwell, Kevin Connolly, Nelsan Ellis",2010
Secrets of Christ's Tomb: Explorer Special,,2017
Secrets of Life,Winston Hibler,1956
Secrets of the King Cobra,Andre Braugher,2012
Shake It Up,"Bella Thorne, Zendaya , Davis Cleveland, Roshon Fegan, Adam Irigoyen, Kenton Duty",2010
Sharks of Lost Island,Chris McLinden,2013
Sharpay's Fabulous Adventure,"Ashley Tisdale, Austin Butler, Cameron Goodman, Bradley Perry, Alec Mapa, Jack Plotnick",2011
Shipwrecked,"Stian Smestad, Trond Peter Munch, Louisa Haigh, Gabriel Byrne, Bjørn Sundquist, Eva von Hanno",1991
Silver Surfer,"Paul Essiembre, James Blendick, Robert Bockstael, Jennifer Daley, Colin Fox",1997
Simpsons Movie,"Dan Castellaneta, Julie Kavner, Nancy Cartwright, Yeardley Smith, Harry Shearer, Hank Azaria",2007
Sister Act,"Whoopi Goldberg, Maggie Smith, Harvey Keitel, Bill Nunn, Mary Wickes, Kathy Najimy",1992
Sister Act 2: Back in the Habit,"Whoopi Goldberg, Kathy Najimy, Barnard Hughes, Mary Wickes, James Coburn, Michael Jeter",1993
Skyrunners,"Kelly Blatz, Joey Pollari, Conrad Coates, Jacqueline Wood, Nathan Stephenson, Kerry Laifatt",2009
Sleeping Beauty,"Mary Costa, Eleanor Audley, Barbara Luddy, Taylor Holmes, Bill Shirley, Verna Felton",1959
Smart House,"Ryan Merriman, Kevin Kilner, Jessica Steen, Katie Volding, Katey Sagal, Emilio Borelli",1999
Smash and Grab,,2019
Snow White and The Seven Dwarfs,"Adriana Caselotti, Harry Stockwell, Lucille LaVerne, Moroni Olsen, Billy Gilbert, Pinto Colvig",1937
Snowball Express,"Dean Jones, Nancy Olson, Harry Morgan, Keenan Wynn, Johnny Whitaker, Michael McGreevy",1972
Snowglobe,"Christina Milian, Erin Karpluk, Hilda Doherty, Jason Schombing, James Kot, Andrew Krivanek",2007
So Weird,"Cara DeLizia, Patrick Levis, Erik von Detten, Belinda Metz, Dave Ward, Mackenzie Phillips",1999
Society Dog Show,"Pinto Colvig, Walt Disney",1939
Spider-Man (Shorts),,2016
Spider-Man and His Amazing Friends,"Hans Conried, Jerry Dexter, George DiCenzo, Alan Dinehart, Walker Edminston, Michael Evans",1982
Spider-Man Unlimited,"Rino Romano, Kathleen Barr, Jim Byrnes, Garry Chalk, Paul Dobson",1999
Spider-Woman,"Joan Ark, Bruce Miller, Bryan Scott, Lou Krugman, Dick Tufeld",1979
Star Wars Forces of Destiny (Shorts),"Ashley Eckstein, Matt Lanter, C1-10P a.k.a. ""Chopper"" , John Boyega, Vanessa Marshall, Felicity Jones",2016
Star Wars Rebels,"Taylor Gray, Vanessa Marshall, Freddie Prinze Jr., Tiya Sircar, Steve Blum, C1-10P a.k.a. ""Chopper""",2014
Star Wars Rebels (Shorts),,2014
Star Wars: A New Hope (Episode IV),"Mark Hamill, Harrison Ford, Carrie Fisher, Peter Cushing, Alec Guinness, Anthony Daniels",1977
Star Wars: Attack of the Clones (Episode II),"Ewan McGregor, Natalie Portman, Hayden Christensen, Frank Oz, Ian McDiarmid, Pernilla August",2002
Star Wars: Blips,,2019
Star Wars: Return of the Jedi (Episode VI),"Mark Hamill, Harrison Ford, Carrie Fisher, Billy Williams, Anthony Daniels, Peter Mayhew",1983
Star Wars: Revenge of the Sith (Episode III),"Ewan McGregor, Natalie Portman, Hayden Christensen, Ian McDiarmid, Frank Oz, Jimmy Smits",2005
Star Wars: The Empire Strikes Back (Episode V),"Mark Hamill, Harrison Ford, Carrie Fisher, Billy Williams, Anthony Daniels, David Prowse",1980
Star Wars: The Force Awakens (Episode VII),"Harrison Ford, Mark Hamill, Carrie Fisher, Adam Driver, Daisy Ridley, John Boyega",2015
Star Wars: The Phantom Menace (Episode I),"Liam Neeson, Ewan McGregor, Natalie Portman, Jake Lloyd, Pernilla August, Frank Oz",1999
Starstruck,"Sterling Knight, Danielle Campbell, Maggie Castle, Brandon Smith, Chelsea Staub, Beth Littleford",2010
Steamboat Willie,Walt Disney,1928
Stepsister from Planet Weird,"Courtnee Draper, Tamara Hope, Lance Guest, Khrystyne Haje, Vanessa Chester, Myles Jeffrey",2000
Stitch! The Movie,"Daveigh Chase, Chris Sanders, Tia Carrere, David Stiers, Kevin McDonald, Ving Rhames",2003
Stonehenge Decoded: Secrets Revealed,Craig Sechler,2008
Stuck in the Suburbs,"Danielle Panabaker, Brenda Song, Amanda Shaw, CiCi Hedgepeth, Jennie Garland, Ryan Belleville",2004
Sultan and the Rock Star,"Timothy Hutton, Ken Swofford, Bruce Glover, Ned Romero, Richard Paul, Pat Delany",1980
Super Buddies,"Jeremy Shinder, Tenzing Trainor, Ty Panitz, G. Hannelius, Cooper Roth, Colin Hanks",2013
Swiss Family Robinson,"Thomas Mitchell, Edna Best, Freddie Bartholomew, Terry Kilburn, Tim Holt, Baby Quillan",1940
TaleSpin,"Charlie Adler, Jim Cummings, Ed Gilbert, Chuck McCann, Alan Roberts, Sally Struthers",1990
Tall Tale,"Scott Glenn, Oliver Platt, Nick Stahl, Stephen Lang, Roger Brown, Jared Harris",1995
Tangled,"Mandy Moore, Zachary Levi, Donna Murphy, Ron Perlman, M.C. Gainey, Jeffrey Tambor",2010
Tangled Before Ever After,"Zachary Levi, Mandy Moore, Eden Espinosa, Clancy Brown, Julie Bowen, Laura Benanti",2017
Tarzan & Jane,"Michael Weiss, Olivia d'Abo, Rene Auberjonois, Jeff Bennett, Jim Cummings, Grey DeLisle",2002
Teacher's Pet,"Nathan Lane, Kelsey Grammer, Shaun Fleming, Debra Rupp, David Stiers, Jerry Stiller",2004
Teen Beach 2,"Ross Lynch, Maia Mitchell, Grace Phipps, Garrett Clayton, John DeLuca, Chrissie Fit",2015
Teen Beach Movie,"Ross Lynch, Maia Mitchell, Grace Phipps, Garrett Clayton, John DeLuca, Chrissie Fit",2013
Teen Spirit,"Cassie Scerbo, Lindsey Shaw, Chris Zylka, Tim Gunn, Carissa Capobianco, Gabriela Lopez",2011
That Darn Cat,"Christina Ricci, Doug Doug, George Dzundza, Peter Boyle, Michael McKean, Bess Armstrong",1997
That Darn Cat!,"Hayley Mills, Dean Jones, Dorothy Provine, Roddy McDowall, Neville Brand, Elsa Lanchester",1965
The Absent-Minded Professor,"Fred MacMurray, Nancy Olson, Keenan Wynn, Tommy Kirk, Leon Ames, Elliott Reid",1961
The Adventures of André & Wally B.,,1984
The Adventures of Bullwhip Griffin,"Roddy McDowall, Suzanne Pleshette, Karl Malden, Harry Guardino, Richard Haydn, Hermione Baddeley",1967
The Adventures of Huck Finn,"Elijah Wood, Courtney Vance, Robbie Coltrane, Jason Robards, Ron Perlman, Dana Ivey",1993
The Adventures of Ichabod and Mr. Toad,"Bing Crosby, Basil Rathbone, Eric Blore, Pat O'Malley, John Ployardt, Colin Campbell",1949
The Adventures of Spin and Marty,"David Stollery, Tim Considine",1955
The African Lion,Winston Hibler,1955
The Apple Dumpling Gang,"Bill Bixby, Susan Clark, Don Knotts, Tim Conway, David Wayne, Slim Pickens",1975
The Apple Dumpling Gang Rides Again,"Tim Conway, Don Knotts, Tim Matheson, Kenneth Mars, Elyssa Davalos, Jack Elam",1979
The Aristocats,"Phil Harris, Eva Gabor, Sterling Holloway, Scatman Crothers, Paul Winchell, Lord Tim Hudson",1970
The Art of Skiing,John McLeish,1941
The Avengers: Earth's Mightiest Heroes,"Eric Loomis, Bumper Robinson, Dawn Olivera, Phil LaMarr, Alex Desert, Kari Wuhrer",2010
The Avengers: United They Stand,"Martin Roach, Rod Wilson, Lenore Zann, Ron Rubin, Hamish McEwan, Lynda Ballantyne",1999
The Band Concert,Clarence Nash,1935
The Bears and I,"Patrick Wayne, Chief George, Andrew Duggan, Michael Ansara, Robert Pine, Val DeVargas",1974
The Big Bad Wolf,,1934
The Biscuit Eater,"Earl Holliman, Patricia Crowley, Lew Ayres, Godfrey Cambridge, Beah Richards, Clifton James",1972
The Black Cauldron,"Grant Bardsley, Susan Sheridan, Freddie Jones, Nigel Hawthorne, Arthur Malet, John Byner",1985
The Black Hole,"Maximilian Schell, Anthony Perkins, Robert Forster, Joseph Bottoms, Yvette Mimieux, Ernest Borgnine",1979
The Blue Umbrella,Sarah Jaffe,2013
The Book of Once Upon a Time,Kate Mulvany,2014
The Book of Pooh,"Jim Cummings, Paul Tiesler, Jeff Bennett, Peter Cullen, Stephanie d’Abruzzo, John Fiedler",2000
The Brave Little Toaster Goes to Mars,"Deanna Oliver, Tim Stack, Roger Kabler, Thurl Ravenscroft, Eric Lloyd, Farrah Fawcett",1998
The Castaway Cowboy,"James Garner, Vera Miles, Robert Culp, Eric Shea, Elizabeth Smith, Manu Tupou",1974
The Cheetah Girls,"Raven , Adrienne Bailon, Kiely Williams, Sabrina Bryan, Juan Chioran, Lori Alter",2003
The Cheetah Girls 2,"Raven-Symoné , Adrienne Bailon, Sabrina Bryan, Kiely Williams, Belinda Peregrin, Lori Alter",2006
The Cheetah Girls: One World,"Adrienne Bailon, Sabrina Bryan, Kiely Williams, Roshan Seth, Michael Steger, Kunal Sharma",2008
The Christmas Star,"Edward Asner, René Auberjonois, Jim Metzler, Susan Tyrrell, Karen Landry, Alan North",1986
The Chronicles of Narnia: Prince Caspian,"Georgie Henley, Skandar Keynes, William Moseley, Anna Popplewell, Ben Barnes, Peter Dinklage",2008
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","Georgie Henley, Skandar Keynes, William Moseley, Anna Popplewell, Tilda Swinton, James McAvoy",2005
The Color of Friendship,"Carl Lumbly, Penny Johnson, Shadia Simmons, Anthony Burnett, Travis Davis, Lindsey Haun",2000
The Computer Wore Tennis Shoes,"Kurt Russell, Cesar Romero, Joe Flynn, William Schallert, Alan Hewitt, Richard Bakalyan",1969
The Country Bears,"Christopher Walken, Stephen Tobolowsky, Daryl Mitchell, M.C. Gainey, Diedrich Bader, Alex Rocco",2002
The Emperor's New Groove,"David Spade, John Goodman, Eartha Kitt, Patrick Warburton, Wendie Malick, Eli Linnetz",2000
The Even Stevens Movie,"Shia LaBeouf, Christy Romano, Tom Virtue, Nick Spano, Steven Lawrence, A.J. Trauth",2003
The Flood,Angela Bassett,2018
The Fox and the Hound,"Mickey Rooney, Kurt Russell, Pearl Bailey, Jack Albertson, Sandy Duncan, Jeanette Nolan",1981
The Fox and the Hound 2,"Reba McEntire, Patrick Swayze, Jonah Bobo, Harrison Fahn, Jeff Foxworthy, Vicki Lawrence",2006
The Game Plan,"Dwayne Johnson, Kyra Sedgwick, Morris Chestnut, Roselyn Sanchez, Madison Pettis, Gordon Clapp",2007
The Ghosts of Buxley Hall,"Dick O'Neill, Victor French, Louise Latham, Rad Daly, Monte Markham, Ruta Lee",1980
The Goddess of Spring,,1934
The Golden Touch,,1935
The Good Dinosaur,"Jeffrey Wright, Frances McDormand, Maleah Padilla, Ryan Teeple, Jack McGraw, Marcus Scribner",2015
The Great Muppet Caper,"Jim Henson, Frank Oz, Dave Goelz, Jerry Nelson, Richard Hunt, Charles Grodin",1981
The Greatest Game Ever Played,"Shia LaBeouf, Stephen Dillane, Peter Firth, Elias Koteas, Stephen Marcus, Josh Flitter",2005
The Haunted Mansion,"Eddie Murphy, Terence Stamp, Nathaniel Parker, Marsha Thomason, Jennifer Tilly, Wallace Shawn",2003
The Hockey Champ,,1939
The Hunchback of Notre Dame,"Tom Hulce, Demi Moore, Tony Jay, Kevin Kline, Paul Kandel, Jason Alexander",1996
The Hunchback of Notre Dame II,"Jason Alexander, Jennifer Hewitt, Tom Hulce, Paul Kandel, Charles Kimbrough, Kevin Kline",2002
The Imagineering Story,,2019
The Incredible Journey,"Émile Genest, John Drainie, Tommy Tweed, Sandra Scott, Syme Jago, Marion Finlayson",1963
The Incredibles,"Craig Nelson, Holly Hunter, Samuel Jackson, Jason Lee, Dominique Louis, Teddy Newton",2004
The Journey of Natty Gann,"Meredith Salenger, John Cusack, Ray Wise, Lainie Kazan, Scatman Crothers, Barry Miller",1985
The Jungle Book 2,"John Goodman, Haley Osment, Mae Whitman, Connor Funk, Bob Joles, Tony Jay",2003
The Jungle Book: Mowgli's Story,"Brandon Baker, Sherman Howard, Clancy Brown, Peri Gilpin, Wallace Shawn, Stephen Tobolowsky",1998
The Legend of Mor'du,"Julie Walters, Steve Purcell, Callum O'Neill",2012
The Lion King 1 1/2,"Nathan Lane, Ernie Sabella, Julie Kavner, Jerry Stiller, Matthew Broderick, Robert Guillaume",2004
The Lion King 2: Simba's Pride,"Matthew Broderick, Neve Campbell, Andy Dick, Robert Guillaume, James Jones, Moira Kelly",1998
The Little Mermaid,"René Auberjonois, Christopher Barnes, Jodi Benson, Pat Carroll, Paddi Edwards, Buddy Hackett",1989
The Little Mermaid II:  Return to the Sea,"Jodi Benson, Samuel Wright, Tara Charendoff, Pat Carroll, Buddy Hackett, Kenneth Mars",2000
The Little Mermaid:  Ariel's Beginning,"Jodi Benson, Samuel Wright, Jim Cummings, Sally Field, Tara Strong, Jennifer Hale",2008
The Little Whirlwind,"Walt Disney, Thelma Boardman",1941
The Living Desert,Winston Hibler,1953
The Lizzie McGuire Movie,"Hilary Duff, Adam Lamberg, Robert Carradine, Hallie Todd, Jake Thomas, Yani Gellman",2003
The Lost Tomb of Alexander the Great,Matt McFetridge,2019
The Love Bug (1969),"Dean Jones, Michele Lee, David Tomlinson, Buddy Hackett, Joe Flynn, Benson Fong",1969
The Many Adventures of Winnie the Pooh,"Sebastian Cabot, Junius Matthews, Barbara Luddy, Howard Morris, John Fiedler, Ralph Wright",1977
The Million Dollar Duck,"Dean Jones, Sandy Duncan, Joe Flynn, Tony Roberts, James Gregory, Lee Montgomery",1971
The Mistle-Tones,"Tia Mowry, Jonathan Moore, Andy Gala, Megan Duffy, Jason Rogel, Tammy Townsend",2012
The Muppet Christmas Carol,"Michael Caine, Steve Whitmire, Frank Oz, Dave Goelz, Jerry Nelson, David Rudman",1992
The Muppet Movie,"Jim Henson, Frank Oz, Jerry Nelson, Richard Hunt, Dave Goelz, Charles Durning",1979
The Muppets,"Jason Segel, Amy Adams, Chris Cooper, Rashida Jones, Steve Whitmire, Eric Jacobson",2011
The Muppets (Series),"Bill Barretta, Dave Goelz, Eric Jacobson, Peter Linz, David Rudman, Matt Vogel",2015
The New Adventures of Winnie the Pooh,"Jim Cummings, Paul Winchell, John Fiedler, Ken Sansome, Tim Hoskins, Patty Paris",1988
The Old Mill,,1937
The Olympic Champ,,1942
The Parent Trap,"Dennis Quaid, Natasha Richardson, Lisa Walter, Elaine Hendrix, Simon Kunz, Ronnie Stevens",1998
The Parent Trap (1961),"Hayley Mills, Maureen O'Hara, Brian Keith, Charlie Ruggles, Una Merkel, Leo Carroll",1961
The Pied Piper,,1933
The Plausible Impossible (Disneyland: 1954-58),Walt Disney,1956
The Poof Point,"Tahj Mowry, Dawnn Lewis, Raquel Lee, Mark Curry, Bruce Newbold, Jan Felt",2001
The Prince and the Pauper,"Guy Williams, Laurence Naismith, Donald Houston, Sean Scully, Niall MacGinnis, Geoffrey Keen",1962
The Princess and the Frog,"Anika Rose, Bruno Campos, Keith David, Michael-Leon Wooley, Jennifer Cody, Jim Cummings",2009
The Princess Diaries,"Anne Hathaway, Heather Matarazzo, Hector Elizondo, Mandy Moore, Caroline Goodall, Robert Schwartzman",2001
The Princess Diaries 2: Royal Engagement,"Anne Hathaway, Heather Matarazzo, John Rhys-Davies, Chris Pine, Callum Blue, Kathleen Marshall",2004
The Proud Family Movie,"Tommy Davidson, Kyla Pratt, Paula Parker, Jo Payton, Orlando Brown, Soleil Frye",2005
The Reluctant Dragon,"Robert Benchley, Gerald Mohr, Alan Ladd, Florence Gill, Frances Gifford, Buddy Pepper",1941
The Replacements,"Nancy Cartwright, Grey DeLisle, Kath Soucie, Daran Norris, David McCallum, Jeff Bennett",2006
The Rescuers,"Bob Newhart, Eva Gabor, Geraldine Page, Joe Flynn, Jeanette Nolan, Pat Buttram",1977
The Rescuers Down Under,"Bob Newhart, Eva Gabor, John Candy, Tristan Rogers, Adam Ryen, Wayne Robson",1990
The Rookie,"Dennis Quaid, Rachel Griffiths, Jay Hernandez, Beth Grant, Angus Jones, Brian Cox",2002
The Santa Clause,"Tim Allen, Judge Reinhold, Wendy Crewson, Eric Lloyd, David Krumholtz, Larry Brandenburg",1994
The Santa Clause 2,"Tim Allen, Judge Reinhold, Wendy Crewson, Elizabeth Mitchell, David Krumholtz, Eric Lloyd",2002
The Santa Clause 3: The Escape Clause,"Tim Allen, Elizabeth Mitchell, Judge Reinhold, Wendy Crewson, Ann-Margret , Eric Lloyd",2006
The Scream Team,"Mark Rendall, Kat Dennings, Robert Bockstael, Eric Idle, Tommy Davidson, Gary Reineke",2002
The Secret of the Magic Gourd,"劳奕嘉 , 朱祺隆 , 郭凯敏 , 郑嘉昊 , 孟谦 , 陈佩斯",2009
The Shaggy D.A.,"Dean Jones, Tim Conway, Suzanne Pleshette, Keenan Wynn, Jo Worley, Dick Van Patten",1976
The Shaggy Dog,"Fred MacMurray, Jean Hagen, Tommy Kirk, Annette Funicello, Tim Considine, Kevin Corcoran",1959
The Sign of Zorro,"Guy Williams, George Lewis, Gene Sheldon, Henry Calvin, Tony Russo, John Dehner",1960
The Simple Things,,1953
The Sound of Music,"Julie Andrews, Christopher Plummer, Richard Haydn, Peggy Wood, Evadne Baker, Portia Nelson",1965
The Story of Robin Hood And His Merrie Men,"Richard Todd, Joan Rice, Peter Finch, James Hayter, Martita Hunt, James Justice",1952
The Strongest Man in the World,"Kurt Russell, Joe Flynn, Eve Arden, Cesar Romero, Phil Silvers, Dick Van Patten",1975
The Suite Life Movie,"Cole Sprouse, Dylan Sprouse, Brenda Song, Debby Ryan, Matthew Timmons, John Ducey",2011
The Suite Life of Zack & Cody,"Cole Sprouse, Dylan Sprouse, Brenda Song, Ashley Tisdale, Phill Lewis, Kim Rhodes",2004
The Suite Life On Deck,"Cole Sprouse, Dylan Sprouse, Brenda Song, Debby Ryan, Phill Lewis",2008
The Swap,"Peyton List, Jacob Bertrand, Darrin Rose, Claire Rankin, Callan Potter, Jesse Bostick",2016
The Thirteenth Year,"Chez Starbuck, Dave Coulier, Lisa Sullivan, Justin Ross, Courtnee Draper, Tim Redwine",1999
The Three Caballeros,"Aurora Miranda, Carmen Molina, Sterling Holloway, Clarence Nash, Joaquin Garay, Jose Oliveira",1945
The Three Musketeers,"Charlie Sheen, Kiefer Sutherland, Chris O'Donnell, Oliver Platt, Tim Curry, Rebecca De Mornay",1993
The Tigger Movie,"Jim Cummings, Nikita Hopkins, Ken Sansom, John Fiedler, Peter Cullen, Andre Stojka",2000
The Tortoise and the Hare,,1935
The Ugly Dachshund,"Dean Jones, Suzanne Pleshette, Charlie Ruggles, Kelly Thordsen, Parley Baer, Robert Kino",1966
The Ugly Duckling,,1939
The Ultimate Christmas Present,"Hallee Hirsh, Spencer Breslin, Hallie Todd, Brenda Song, John Salley, Susan Ruttan",2000
The Vanishing Prairie,Winston Hibler,1954
The Wild,"Kiefer Sutherland, Jim Belushi, Eddie Izzard, Janeane Garofalo, William Shatner, Richard Kind",2006
The Wise Little Hen,"Clarence Nash, Florence Gill",1934
The Wizards Return: Alex vs. Alex,"Selena Gomez, Jake T. Austin, Jennifer Stone, Gregg Sulkin, Beau Mirchoff, Maria Canals-Barrera",2013
The World According to Jeff Goldblum,Jeff Goldblum,2019
The Young Black Stallion,"Richard Romanus, Biana Tamimi, Patrick Elyas, Gerard Rudolf, Ali Ameri, Andries Rossouw",2003
Three Blind Mouseketeers,"Pinto Colvig, Billy Bletcher",1936
Three Days,,2001
Three Little Pigs,"Billy Bletcher, Pinto Colvig, Dorothy Compton, Mary Moder",1933
Three Little Wolves,,1936
Three Men and a Baby,"Tom Selleck, Steve Guttenberg, Ted Danson, Margaret Colin, Celeste Holm, Nancy Travis",1987
Three Men and a Little Lady,"Tom Selleck, Steve Guttenberg, Ted Danson, Nancy Travis, Christopher Cazenove, Fiona Shaw",1990
Thru the Mirror,"Walt Disney, Marcelite Garner, Sonny Dawson",1936
Tiger Cruise,"Hayden Panettiere, Troy Evans, Bianca Collins, Nathaniel Lee Jr., Nathaniel Lee, Mercedes Colon",2004
Tim Burton’s The Nightmare Before Christmas,"Danny Elfman, Chris Sarandon, Catherine O'Hara, William Hickey, Glenn Shadix, Paul Reubens",1993
Timon & Pumbaa,"Quinton Flynn, Ernie Sabella, Jim Cummings, Nathan Lane",1995
Tin Toy,"Tinny , Billy",1988
Tinker Bell,"Mae Whitman, Kristin Chenoweth, Raven-Symoné , Lucy Liu, America Ferrera, Jane Horrocks",2008
Tinker Bell and the Great Fairy Rescue,"Mae Whitman, Lauren Mote, Michael Sheen, Pamela Adlon, Lucy Liu, Raven-Symoné",2010
Tinker Bell and the Lost Treasure,"Mae Whitman, Jesse McCartney, Jane Horrocks, Lucy Liu, Raven-Symoné , Kristin Chenoweth",2009
Titanic: 20 Years Later With James Cameron,"James Cameron, Bob Ballard",2017
Toby Tortoise Returns,,1936
Tom and Huck,"Jonathan Thomas, Brad Renfro, Eric Schweig, Charles Rocket, Amy Wright, Michael McShane",1995
Toy Story,"Tom Hanks, Tim Allen, Don Rickles, Jim Varney, Wallace Shawn, John Ratzenberger",1995
Toy Story 2,"Tom Hanks, Tim Allen, Joan Cusack, Kelsey Grammer, Don Rickles, Jim Varney",1999
Toy Story 3,"Tom Hanks, Tim Allen, Joan Cusack, Don Rickles, Wallace Shawn, John Ratzenberger",2010
Toy Story Toons: Hawaiian Vacation,"Tom Hanks, Tim Allen, Joan Cusack, Kristen Schaal, Wallace Shawn, Axel Geddes",2011
Toy Story Toons: Partysaurus Rex,"Tom Hanks, Tim Allen, Wallace Shawn, Corey Burton, Tony Cox, Don Fullilove",2012
Toy Story Toons: Small Fry,"Tom Hanks, Tim Allen, John Ratzenberger, Wallace Shawn, Joan Cusack, Estelle Harris",2011
Trail of the Panda,"Zhong Yu, Zhang Qi, Daichi Harashima, Li Feng, Chang Liu, Ke Qi",2009
Trailer Horn,,1950
Treasure Island,"Bobby Driscoll, Robert Newton, Basil Sydney, Walter Fitzgerald, Denis O'Dea, Finlay Currie",1950
Treasure of Matecumbe,"Robert Foxworth, Joan Hackett, Peter Ustinov, Vic Morrow, Johnny Doran, Billy Attmore",1976
Treasure Planet,"Joseph Gordon-Levitt, Brian Murray, Emma Thompson, David Pierce, Martin Short, Dane Davis",2002
Tree Climbing Lions,Alexander Braczkowski,2018
Tron,"Jeff Bridges, Bruce Boxleitner, David Warner, Cindy Morgan, Barnard Hughes, Dan Shor",1982
Tru Confessions,"Shia LaBeouf, Clara Bryant, William McGuire, Nicole Dicker, Kevin Duhaney, Yani Gellman",2002
Tuck Everlasting,"Alexis Bledel, Ben Kingsley, Sissy Spacek, Amy Irving, Victor Garber, Jonathan Jackson",2002
Tugboat Mickey,"Walt Disney, Clarence Nash, Pinto Colvig",1940
Twas the Night,"Bryan Cranston, Josh Zuckerman, Jefferson Mappin, Brenda Grate, Rhys Williams, Barclay Hope",2001
Twitches,"Tia Mowry, Tamera Mowry, Kristen Wilson, Patrick Fabian, Pat Kelly, Jennifer Robertson",2005
Twitches Too,"Tia Mowry, Tamera Mowry, Kristen Wilson, Patrick Fabian, Pat Kelly, Leslie Seiler",2007
Unidentified Flying Oddball,"Dennis Dugan, Jim Dale, Ron Moody, Kenneth More, John Le Mesurier, Rodney Bewes",1979
Up,"Ed Asner, Christopher Plummer, Jordan Nagai, Bob Peterson, Delroy Lindo, Jerome Ranft",2009
"Up, Up and Away","Robert Townsend, Michael Pagan, Alex Datcher, Sherman Hemsley, Kevin Connolly, Olivia Burnette",2000
Valiant,"Ewan McGregor, Ricky Gervais, Tim Curry, Jim Broadbent, Hugh Laurie, John Cleese",2005
Waking Sleeping Beauty,"Don Hahn, Ron Clements, Roy Disney, Glen Keane, Jeffrey Katzenberg, Roger Allers",2010
WALL-E,"Ben Burtt, Elissa Knight, Jeff Garlin, Fred Willard, Macintalk , John Ratzenberger",2008
